47.638684,6.857275,3,20,1
47.642480,6.840834,2,10,2
47.660115,6.892591,5,15,1
47.655144,6.880912,6,30,1
47.661503,6.888471,4,20,1
47.673757,6.864438,2,5,1
47.685545,6.841236,2,13,1
47.638684,6.857275,1,16,1
47.678484,6.845276,1,26,2
47.638684,6.857275,1,23,2
47.638684,6.857275,3,20,1
47.642480,6.840834,2,10,2
47.660115,6.892591,5,15,1
47.655144,6.880912,6,30,1
47.661503,6.888471,4,20,1
47.673757,6.864438,2,5,1
47.685545,6.841236,2,13,1
47.638684,6.857275,1,16,1
47.678484,6.845276,1,26,2
47.638684,6.857275,1,23,2
47.638684,6.857275,3,20,1
47.642480,6.840834,2,10,2
47.660115,6.892591,5,15,1
47.655144,6.880912,6,30,1
47.661503,6.888471,4,20,1
47.673757,6.864438,2,5,1
47.685545,6.841236,2,13,1
47.638684,6.857275,1,16,1
47.678484,6.845276,1,26,2
47.638684,6.857275,1,23,2
47.638684,6.857275,3,20,1
47.642480,6.840834,2,10,2
47.660115,6.892591,5,15,1
47.655144,6.880912,6,30,1
47.661503,6.888471,4,20,1
47.673757,6.864438,2,5,1
47.685545,6.841236,2,13,1
47.638684,6.857275,1,16,1
47.678484,6.845276,1,26,2
47.638684,6.857275,1,23,2
47.638684,6.857275,3,20,1
47.642480,6.840834,2,10,2
47.660115,6.892591,5,15,1
47.655144,6.880912,6,30,1
47.661503,6.888471,4,20,1
47.673757,6.864438,2,5,1
47.685545,6.841236,2,13,1
47.638684,6.857275,1,16,1
47.678484,6.845276,1,26,2
47.638684,6.857275,1,23,2
